boatName,count
,1
AMERICAN CONSTELLA,408
AMSTERDAM,1584
AMUNDSEN,67
ARCADIA,20
ASUKA,29
ASUKA II,10
AZAMARA QUEST,82
BALMORAL,17
BREMEN,185
BRILLIANCE OF THE SE,177
CALEDONIAN SKY,96
CARNIVAL LEGEND,651
CARNIVAL LUMINOSA,138
CARNIVAL MIRACLE,642
CARNIVAL SPIRIT,964
CARNIVAL SPLENDOR,143
CENTURY,566
CLIPPER ODYSSEY,151
CLIPPER PACIFIC,7
CORAL PRINCESS,1629
CROWN PRINCESS,727
CRYSTAL SERENITY,212
CRYSTAL SYMPHONY,292
DAWN PRINCESS,151
DIAMOND PRINCESS,776
DISCOVERER,37
DISCOVERY PRINCESS,342
DISNEY WONDER,1281
ECLIPSE,395
EMERALD PRINCESS,324
EMPRESS OF THE NORT,105
EURODAM,822
EUROPA,37
EXPLORER OF THE SEA,407
GOLDEN PRINCESS,1433
GRAND PRINCESS,1273
HANSEATIC,136
HANSEATIC NATURE,52
INFINITY,1262
INSIGNIA,14
ISLAND PRINCESS,1485
JEWEL OF THE SEAS,134
KONINGSDAM,364
L'AUSTRAL,148
LE BOREAL,57
LE COMMANDANT,4
LE COMMANDANT CHA,1
LE SOLEAL,203
MAASDAM,206
MAJESTIC PRINCESS,368
MERCURY,459
MILLENNIUM,1853
MIRACLE,124
NANSEN,20
NG ENDURENCE,3
NG ORION,94
NG QUEST,503
NG RESOLUTION,6
NG SEA BIRD,485
NG SEA LION,483
NG VENTURE,528
NIEUW AMSTERDAM,1039
NIPPON MARU,22
NOORDAM,1047
NORWEGIAN BLISS,715
NORWEGIAN ENCORE,421
NORWEGIAN JEWEL,1629
NORWEGIAN JOY,174
NORWEGIAN PEARL,1596
NORWEGIAN SPIRIT,255
NORWEGIAN STAR,678
NORWEGIAN SUN,1385
OCEAN VICTORY,293
ODYSSEY,25
OF RESIDENSE,1
OOSTERDAM,1321
ORION II,17
OVATION OF SEAS,515
PACIFIC PRINCESS,376
PACIFIC VENUS,14
QUANTUM OF THE SEA,335
QUEEN ELIZABETH,175
QUEST,211
RADIANCE OF THE SEA,1805
REGATTA,1224
RHAPSODY OF THE SEA,861
ROALD AMUNDSEN,225
ROTTERDAM,136
ROYAL PRINCESS,551
RUBY PRINCESS,1061
RYNDAM,416
SAPPHIRE PRINCESS,1009
SCENIC ECLIPSE,95
SEA BIRD,1491
SEA LION,1511
SEA PRINCESS,495
SEABOURN ODYSSEY,283
SEABOURN SOJOURN,415
SEABOURN VENTURE,15
SEAS MARINER,43
SERENADE OF THE SEA,546
SEVEN SEAS EXPLORER,138
SEVEN SEAS MARINER,991
SEVEN SEAS NAVIGATO,818
SILVER DISCOVERER,173
SILVER EXPLORER,155
SILVER MUSE,413
SILVER SHADOW,1500
SILVER WHISPER,119
SILVER WIND,36
SKY,1
SOJOURN,313
SOLSTICE,1376
SPIRIT OF ALASKA,114
SPIRIT OF COLUMBIA,365
SPIRIT OF DISCOVERY,390
SPIRIT OF ENDEAVOUR,455
SPIRIT OF GLACIER BA,132
SPIRIT OF NINETY-EIGH,159
SPIRIT OF OCEANUS,273
SPIRIT OF YORKTOWN,390
STAR BREEZE,212
STAR LEGEND,274
STAR PRINCESS,1484
STATENDAM,1088
SUN PRINCESS,32
TAHITIAN PRINCESS,113
VEENDAM,282
VIKING ORION,397
VOLENDAM,2073
WESTERDAM,1725
WORLD OF RESIDENSE,138
ZAANDAM,1518
ZUIDERDAM,1131
