,mmsi,boatName
0,310567000,RUBY PRINCESS
1,235103357,SAPPHIRE PRINCESS
2,310625000,QUEEN ELIZABETH
3,311000710,NORWEGIAN BLISS
4,245968000,VOLENDAM
5,245206000,EURODAM
6,257034130,VIKING ORION
7,309416000,SEABOURN ODYSSEY
8,311109000,NORWEGIAN SUN
9,244830547,KONINGSDAM
10,310661000,ROYAL PRINCESS
11,311827000,NORWEGIAN JEWEL
12,310500000,CROWN PRINCESS
13,246028000,NOORDAM
14,246648000,NIEUW AMSTERDAM
15,310327000,GRAND PRINCESS
16,311746000,NORWEGIAN SPIRIT
17,311000879,NORWEGIAN ENCORE
18,232002990,MAJESTIC PRINCESS
